3,5,Share my location with Hillary's sister
3,1,Get me a ride to the airport
3,0,What's the closest between Jo's and Lori's place?
3,0,Is Waldorf Astoria more luxurious than the Four Seasons?
3,7,Make a reservation for 4 people for today's lunch at Daniel
3,7,Book a table for today's lunch at Eggy's Diner for 3 people
3,8,Show me the way to go to work
3,4,What's Lori's home address?
3,8,Cycling directions to my surf lesson at 10am
3,7,Make a reservation at Delmonico's on Saturday 8pm for 10 people
3,1,Book an Uber to home
3,3,Find a good fried chicken restaurant that is not a fast food
3,7,Book a table at Joan's on Third for my family reunion on Saturday
3,7,Figure out if I can get a reservation at Ma Peche after the concert
3,3,Find me the closest theatre for tonight
3,9,Share my ETA with the Snips team
3,0,What is the most expensive restaurant between Per Se and Rao's?
3,8,Transit directions to Barcelona Wine Bar
3,7,Make a reservation for breakfast at Batter & Berries tomorrow
3,7,See if there's a table outside for noon at that fried chicken restaurant I like
3,8,Walking directions to my Christmas party with Citymapper
3,2,What's it like outside?
3,1,I need a cab to go to work
3,4,What's happening this week at Smalls Jazz Club?
3,6,Is there traffic on my way to the gym?
3,5,Send my current location to Anna
3,1,Book a Lyft car to go to 33 greene street
3,0,What is the closest theatre between Belasco Theatre and Majestic Theatre?
3,0,I'd like to know whether Galli is more expensive than Rao's
3,6,Is there traffic on the US 50 portion I'm going to take to go to my client meeting?
3,9,Send my ETA to my girlfriend
3,4,Show me photos of Mondrian Soho
3,8,Navigate to Palo Alto avoiding traffic
3,7,Get me a table at Delmonico's next monday at 8pm
3,8,Show me the way to go to 33 Greene Street
3,4,What's today's menu at The Water Club?
3,1,I need a taxi in 5 minutes at 36 5th avenue
3,4,What's the phone number of the Dead Rabbit?
3,8,Get me directions to John's place if I leave at 6pm
3,3,Find me a place that sells burritos in South Harlem
3,7,I want a reservation for 5 at Alinea
3,6,Any accidents to expect to go to my cousin's place?
3,7,Please book a table at Delmonico's this evening for 3 at 8pm
3,8,Walking directions from home to my Halloween party stopping by a wine store
3,7,Book me a table for 4 at Delmonico's around 8pm this friday
3,4,How much does it cost to go to Disneyland?
3,1,I want a taxi right now
3,0,Is my Airbnb closer than John's hotel?
3,2,Is it cold outside?
3,2,Is it going to rain tomorrow?
3,0,Is The View more expensive than Masa?
3,7,Table for two at Nobu New York tonight
3,3,Show me veggie restaurants nearby
3,4,Give me Steve's address in Manhattan
3,8,Show me the fastest itinerary to my Airbnb on a Friday night
3,7,"Can you make a reservation at a lebanese restaurant nearby, for lunch, party of 5?"
3,4,Give me the address of State Grill and bar
3,3,Is there a place similar to Per Se in Williamsburg?
3,0,What's the best hotel between Soho Grand and Paramount Hotel?
3,3,Find me the finest sushi restaurant in the area of my next meeting
3,5,Share my location with my Uber driver
3,1,Get a cab at my place right now
3,4,Are there activities for children at Hard Rock Cafe?
3,3,Find the top 3 family attractions in Hollywood not far from Angie's place
3,7,Book a table at The Standard Grill for four people for the day after tomorrow at 8:30pm
3,4,Is there wifi at my Airbnb in London next week end?
3,0,Is my favorite bar better than the Donut Pub?
3,4,Give me the phone number of the place I'm going to today
3,8,Show me directions to my hotel
3,4,How far am I from the Guggenheim museum?
3,9,Send a message to Montgomery with my arrival time
3,8,How do I go to Montauk avoiding tolls?
3,7,Book me a table for 8:45pm at a restaurant with wifi near my Airbnb
3,1,Get a taxi to Emmit's Irish Pub
3,3,Show me the closest restaurants with all you can eat buffets
3,2,What's the weather like at work?
3,2,Is it going to be sunny next week?
3,6,Shoud I expect traffic between broadway and prince street?
3,7,Need a table for lunch to eat steak near penn station
3,2,Will it rain in the next 30 minutes?
3,7,Book a table for 5 people at the restaurant I'm used to going to every week
3,6,Is there traffic from work to gym?
3,8,Fastest way to go to my next meeting
3,8,Give me directions to my parents' place avoiding toll roads
3,7,Book a table at the best chinese restaurant in town for today's lunch
3,4,When is Rao's the most crowded?
3,8,Directions to Tulsa with road 66
3,1,Order a cab for 6 people
3,2,What will the weather be like from 8am to 2pm in Central Park?
3,7,Find me a table for four for dinner tonight
3,1,Can you find me a ride at this hour?
3,7,I'd like a table in a peaceful restaurant around Times Square
3,2,What is the temperature tomorrow morning?
3,2,It is a beautiful day for a walk?
3,2,What's the weather forecast for the rest of the week?
3,7,Book me and my sister a spot at the milk bar place near the hotel she stays at in midtown
3,6,Should I expect traffic from here to Kennedy international airport?
3,7,Get me a table at a good deli near Mission Dolores Park for lunch
3,2,Show me the forecast for New Orleans
